,col_name,feature_importance_vals
146,agg_verbs_rate,0.20094522357433833
117,speed__last_location_of_maximum,0.13971649336568234
133,client_rides_cnt,0.11224621288901233
0,"speed__fft_coefficient__attr_""abs""__coeff_3",0.09862610556250008
137,hour,0.09795261093078006
130,duration,0.08878609463754535
57,speed__spkt_welch_density__coeff_5,0.08757617678204685
115,"speed__fft_coefficient__attr_""imag""__coeff_4",0.08724487277426353
32,"speed__fft_coefficient__attr_""abs""__coeff_6",0.08702953898812531
148,agg_nouns_rate,0.08352878004979501
85,"speed__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.0826410828669213
127,arrived_distance,0.07986047407535625
69,"speed__fft_coefficient__attr_""abs""__coeff_5",0.07834032908474318
149,mean_comments_aggressive_rate,0.07023484704849188
63,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.07008176671889799
134,driver_rides_cnt,0.06860996676383789
53,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.06036344416997512
67,"speed__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.06018728211891077
131,mark,0.05820319902880163
91,"speed__fft_coefficient__attr_""abs""__coeff_9",0.05617993646166922
142,speed,0.05510285457503869
35,"speed__fft_coefficient__attr_""abs""__coeff_2",0.05476462685441018
75,speed__permutation_entropy__dimension_3__tau_1,0.052612676524611025
98,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.05243002523012005
54,"speed__fft_coefficient__attr_""abs""__coeff_7",0.05171413168227081
44,"speed__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.05161260858906154
87,speed__fourier_entropy__bins_3,0.05065837901472904
89,speed__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.04967806250021193
88,speed__c3__lag_3,0.04956326677203896
120,speed__fourier_entropy__bins_5,0.049548870378786906
74,"speed__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.04874208036643825
147,agg_adjs_rate,0.0485729875280782
38,"speed__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.04657743052493625
103,"speed__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.04621972552215991
70,"speed__agg_autocorrelation__f_agg_""var""__maxlag_40",0.045684650356263685
79,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.045645105376924816
84,speed__approximate_entropy__m_2__r_0.7,0.045533829938777436
46,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.043827365438885664
92,"speed__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.04233957281116197
61,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",0.04154581809777185
107,"speed__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.040658262704992926
93,speed__mean_change,0.038843606187548334
95,speed__c3__lag_1,0.03823436935859155
73,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.03797536372160564
62,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.037927444419313165
122,"speed__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",0.037472040433638505
76,"speed__fft_coefficient__attr_""abs""__coeff_8",0.03627656228071187
58,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.035134578348666484
109,"speed__fft_aggregated__aggtype_""kurtosis""",0.034882093482680974
80,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",0.034125034046295556
30,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.03407288440955998
119,speed__mean,0.03400539054291672
123,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.0339535388816997
104,speed__fourier_entropy__bins_100,0.03337942906897116
52,speed__lempel_ziv_complexity__bins_100,0.03236540262171161
139,weekday,0.03208978906542705
65,speed__quantile__q_0.9,0.03041436410399408
45,"speed__fft_coefficient__attr_""abs""__coeff_4",0.03040598416192332
23,speed__permutation_entropy__dimension_4__tau_1,0.030306518096280127
66,"speed__fft_coefficient__attr_""abs""__coeff_1",0.030025162206767042
33,"speed__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.029926604543166594
81,speed__spkt_welch_density__coeff_8,0.029552138188878807
97,"speed__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.029382498247023266
31,speed__maximum,0.02827735330840207
114,"speed__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",0.027355634090801252
56,"speed__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",0.02720356973515066
68,"speed__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",0.027193891690961477
82,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",0.027044939370298695
99,"speed__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.026903541307767998
105,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.02661403427213863
78,"speed__linear_trend__attr_""intercept""",0.02562267430815605
112,speed__c3__lag_2,0.02558112235527362
20,speed__approximate_entropy__m_2__r_0.3,0.025528806936054634
36,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0250529374164584
40,speed__cid_ce__normalize_True,0.02502457132815475
121,speed__binned_entropy__max_bins_10,0.025005138707814626
101,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.024918147428065675
129,distance,0.02471626661483621
49,"speed__linear_trend__attr_""slope""",0.02462769876284905
150,agg_comm_probability,0.02443608718249116
113,speed__quantile__q_0.8,0.024234928339849828
27,speed__approximate_entropy__m_2__r_0.5,0.02395645095170661
116,speed__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.02354778510578061
64,"speed__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",0.023471859764245276
51,"speed__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",0.022988487661463837
26,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.022877431524512326
102,speed__root_mean_square,0.022631248938788043
60,speed__fourier_entropy__bins_2,0.022001813586145638
94,"speed__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.021781196148706525
110,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.021225951805202994
59,speed__index_mass_quantile__q_0.4,0.021045738344374315
16,speed__abs_energy,0.021033003849883408
37,speed__index_mass_quantile__q_0.1,0.021029836291719305
39,speed__lempel_ziv_complexity__bins_10,0.02084013271236437
108,"speed__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",0.020736223253499594
106,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.020735436149911763
1,speed__absolute_sum_of_changes,0.02066757512574814
100,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.020557051504186886
72,speed__variance,0.019942033519919373
15,speed__permutation_entropy__dimension_6__tau_1,0.019928668946787114
138,traff_jam,0.019563236330088354
50,speed__index_mass_quantile__q_0.2,0.019378461120004187
90,"speed__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.019237488960972524
132,client_rate_ride,0.01921803990515454
118,"speed__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.019173979322805925
42,"speed__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",0.019137294010853807
41,"speed__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.0190803511893324
8,"speed__fft_aggregated__aggtype_""centroid""",0.01871466080908276
29,speed__lempel_ziv_complexity__bins_5,0.0185750261450417
28,speed__last_location_of_minimum,0.018223669630506308
48,speed__index_mass_quantile__q_0.3,0.017766082593650655
71,speed__standard_deviation,0.017373404521197688
9,"speed__fft_coefficient__attr_""abs""__coeff_0",0.016584718095503707
55,"speed__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.016439345071969407
17,speed__permutation_entropy__dimension_5__tau_1,0.016186261511987005
25,speed__lempel_ziv_complexity__bins_3,0.01618458017060172
34,"speed__linear_trend__attr_""stderr""",0.01609634530326186
86,speed__spkt_welch_density__coeff_2,0.01596078742433852
2,speed__cid_ce__normalize_False,0.015854375011460496
47,"speed__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.015596497946677395
83,"speed__linear_trend__attr_""rvalue""",0.01497557690147679
96,speed__number_crossing_m__m_1,0.014752239264759002
145,distance_thresh,0.013827530177761418
77,"speed__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",0.013673946810975031
128,arrived_duration,0.013030355985694577
6,speed__sum_values,0.013020184729412786
151,is_comment_y,0.012481770945731979
135,comment,0.011752650243468207
18,speed__permutation_entropy__dimension_7__tau_1,0.011630152617781983
21,speed__count_above_mean,0.011535460284171415
7,"speed__fft_coefficient__attr_""real""__coeff_0",0.011471069377654682
13,speed__number_cwt_peaks__n_1,0.01127952487762924
12,speed__range_count__max_1000000000000.0__min_0,0.011075799555458838
19,speed__number_peaks__n_5,0.010645087118206243
24,speed__number_peaks__n_3,0.01024309415993456
4,speed__number_cwt_peaks__n_5,0.009712632455587032
140,holiday,0.009494494627728903
5,"speed__fft_aggregated__aggtype_""variance""",0.00947995609771445
22,speed__number_peaks__n_10,0.008977597759662963
10,speed__number_peaks__n_1,0.008867554405454732
141,count_words,0.007999848994219698
3,speed__count_below_mean,0.007499940248227141
43,speed__longest_strike_below_mean,0.007288645436177326
14,speed__lempel_ziv_complexity__bins_2,0.006766964810161057
136,is_comment_x,0.00545903405220997
11,speed__length,0.004903829622775224
111,"speed__fft_coefficient__attr_""real""__coeff_72",0.0011048247691537096
144,normal_words,0.0
143,agg_words,0.0
126,near_violations,0.0
125,violations,0.0
124,order_id,0.0
